BUSLINENUM,cnt
10,118
100,128
100-1,124
1000,80
1000(심야),138
1001,89
1001(심야),89
1002,107
1002(심야),172
1003,130
1003(심야),149
1004,105
1004(심야),166
1005,113
1006,50
1008,93
1008(심야),93
1009,119
101,104
1010,96
1010(심야),95
1011,57
103,126
105,81
107,110
108,98
11,114
110,103
110-1,74
111,114
111-1,85
113,113
115,68
115-1,120
121,97
123,145
124,139
125,77
126,135
127,79
128-1,121
129-1,118
131,148
133,108
134,99
138,132
138-1,150
139,140
141,101
141(심야),90
144,59
148,113
148-1,149
15,124
15(심야),124
155,120
16,97
160,100
161,112
167,71
168,146
169,118
169-1,98
17,123
179,91
180,78
180(아침),122
181,159
182,149
182(심야),149
183,130
183(심야),110
184,74
185,47
186,137
187,109
188,161
189,94
189-1,94
190,141
2,112
20,77
200,130
2000,47
203,31
210,107
22,100
221,88
23,63
24,62
26,68
26(아침),74
27,80
29,140
3,112
30,91
30(심야),71
300,73
301,71
302,121
307,117
31,148
33,117
33-1,88
338,125
36,152
37,118
38,160
39,134
40,147
41,78
42,110
43,126
44,99
46,84
49,111
5-1,142
50,116
506,64
508,85
508(심야),84
51,129
51(심야),127
52,98
520,100
54,115
55,102
57,105
58,84
58-1,102
58-1(심야),110
58-2,106
58-2(심야),106
583,58
59,113
6,126
61,113
62,88
63,130
66,114
67,90
68,102
7,94
70,100
71,97
73,118
73(아침),166
77,112
8,87
80,113
81,80
82,86
83,52
83-1,106
85,81
86,105
87,114
88(A),111
88-1A,34
9,101
90,24
96,105
96-1,99
99,67
