노선번호,운행거리(km),평균 배차간격,평균 운행횟수
2,39.8,9.75,101.33333333333333
3,49.3,14.25,67.66666666666667
5-1,56.1,15.5,61.333333333333336
6,38.3,8.25,107.33333333333333
7,30.7,15.5,57.333333333333336
8,38.0,7.891304347826087,118.0
9,34.6,17.75,55.0
10,49.2,11.5,85.66666666666667
11,42.6,10.5,87.33333333333333
15,53.0,6.25,154.66666666666666
16,36.5,6.5,157.33333333333334
17,45.2,8.25,133.0
20,34.0,7.75,128.33333333333334
22,38.4,13.25,75.33333333333333
23,27.7,6.0,182.66666666666666
24,27.2,5.5,196.66666666666666
26,28.1,8.5,125.33333333333333
27,36.7,7.5,141.66666666666666
29,53.2,9.5,99.33333333333333
30,31.4,7.5,128.66666666666666
31,68.2,8.75,103.0
33,49.1,8.5,118.33333333333333
33-1,38.9,11.5,81.0
36,60.0,19.25,45.333333333333336
37,67.6,21.5,45.0
38,68.7,27.75,34.333333333333336
39,58.5,13.0,72.0
40,68.3,11.25,83.0
41,32.9,8.0,128.33333333333334
42,42.7,12.5,75.66666666666667
43,51.7,11.0,82.33333333333333
44,39.0,8.25,129.0
46,34.4,14.0,67.66666666666667
49,44.5,9.0,112.0
50,60.2,16.25,61.333333333333336
51,50.2,8.0,122.66666666666667
52,40.8,8.5,119.0
54,38.5,7.13013698630137,140.33333333333334
55,66.4,40.25,22.0
57,41.1,10.25,96.0
58,66.0,43.5,22.0
58-1,42.6,31.5,33.0
58-2,47.2,11.25,87.33333333333333
59,58.5,15.75,63.0
61,47.0,9.25,109.33333333333333
62,41.0,7.5,121.66666666666667
63,57.7,10.0,100.66666666666667
66,45.1,26.0,38.333333333333336
67,41.5,6.25,160.0
68,42.2,6.25,156.33333333333334
70,34.3,16.5,59.0
71,31.2,14.5,57.333333333333336
73,58.3,65.0,10.0
77,46.1,10.5,97.33333333333333
80,43.0,8.0,126.66666666666667
81,32.3,5.0,201.0
82,29.4,8.0,129.66666666666666
83,23.0,8.75,123.0
83-1,43.0,24.25,42.0
85,31.7,16.0,66.66666666666667
86,39.7,10.25,90.33333333333333
87,41.2,7.25,141.33333333333334
88,44.3,26.0,38.333333333333336
88-1,17.2,9.0,119.66666666666667
90,9.8,11.5,68.0
96,32.3,7.0,146.0
96-1,40.7,38.75,25.0
99,27.2,6.75,154.0
100,56.4,15.25,53.333333333333336
100-1,53.7,13.25,69.33333333333333
101,42.5,10.5,88.66666666666667
103,49.6,12.0,86.66666666666667
105,62.7,16.75,59.0
107,59.8,14.25,65.66666666666667
108,43.0,11.5,83.66666666666667
110,44.8,13.75,78.0
110-1,37.2,7.0,147.66666666666666
111,49.0,11.25,83.0
111-1,42.0,12.0,80.66666666666667
113,41.8,8.0,129.0
115,24.0,27.0,35.666666666666664
115-1,44.6,7.5,127.33333333333333
121,40.0,27.25,37.0
123,79.2,13.0,73.33333333333333
124,63.8,23.75,39.333333333333336
125,50.6,38.75,20.0
126,63.5,7.75,123.66666666666667
127,47.2,14.75,66.33333333333333
128-1,54.0,7.75,124.66666666666667
129-1,49.6,9.0,108.0
131,60.8,16.5,57.666666666666664
133,46.5,10.0,113.33333333333333
134,35.5,10.25,98.0
138,58.0,11.75,86.0
138-1,65.8,15.75,62.333333333333336
139,60.9,27.75,35.0
141,45.7,10.75,90.33333333333333
144,25.0,13.0,75.0
148,56.5,9.0,105.0
148-1,62.0,19.75,48.666666666666664
155,45.0,7.5,127.66666666666667
160,39.0,11.25,90.0
161,48.2,9.25,109.0
167,31.4,9.25,106.66666666666667
168,68.0,18.0,51.0
169,39.4,6.5,163.66666666666666
169-1,35.3,7.0,155.0
179,32.0,7.0,154.66666666666666
180,69.9,43.75,3.0
180,47.7,45.75,18.0
181,63.0,16.5,48.666666666666664
182,68.9,28.75,34.0
183,59.6,18.25,51.666666666666664
184,40.5,43.75,23.0
185,26.1,29.5,32.0
186,56.0,19.75,49.0
187,68.8,48.0,18.0
188,73.1,32.25,29.333333333333332
189,35.6,9.0,108.33333333333333
189-1,29.8,11.25,89.66666666666667
190,44.4,17.5,53.666666666666664
200,66.6,12.0,88.0
210,38.3,14.0,68.33333333333333
221,61.8,48.75,11.0
300,36.6,21.0,45.0
301,27.2,40.25,25.666666666666668
302,48.5,44.75,23.333333333333332
307,76.8,22.0,41.333333333333336
338,51.0,11.75,79.33333333333333
506,24.3,13.5,73.66666666666667
508,26.3,12.0,84.33333333333333
520,86.5,73.5,14.0
583,29.3,24.25,36.666666666666664
1000,44.2,13.25,74.0
1001,78.8,10.25,98.33333333333333
1002,79.1,16.75,63.0
1003,78.5,12.0,85.66666666666667
1004,73.1,14.25,67.66666666666667
1005,102.4,31.5,25.333333333333332
1006,59.0,34.75,29.0
1008,72.5,14.25,70.33333333333333
1009,107.0,47.0,18.333333333333332
1010,68.0,12.5,71.6
1011,97.0,26.25,41.0
2000,110.0,25.0,20.0
