시설명,시설장,주소,전화번호,설치일,법인명,위도,경도
동원직업재활원,김재영,울산광역시 울주군 두동명 천전각석길 11 ,052-263-6634,1998-12-26,동향원,35.6180015,129.1693365
부산장애인직업재활시설,오효미,부산광역시 강서구 대저로89번다길 70,051-868-3534,2010-03-01,양덕사회문화원,35.21923179,128.96701
베데스다직업재활원,박우춘,경상남도 김해시 상동면 장척로 611-21,055-329-3666,1998-12-26,베데스다,35.29569271,128.9272621
한마음직업재활센터,서기석,부산광역시 강서구 가락대로 1469-7,051-710-0913,2017-08-28,수와천,35.19538163,128.9015873
가마실로직업재활원,신진혁,부산광역시 금정구 가마실로 65-7,051-710-9747,2014-12-23,태양의집,35.22402173,129.0955009
금정구장애인근로작업장,손현식,부산광역시 금정구 서부로 77,051-529-3145,2003-06-13,부산광역시금정구장애인협회,35.21955549,129.0989667
가꿈복지직업재활시설,박승기,"부산광역시 금정구 금사로 9, 비2",051-862-8090,2016-04-01,가꿈복지,35.21533454,129.1061589
공존직업재활센터,이상우,부산광역시 기장군 정관읍 예림1로 82,051-711-8815,2018-12-11,한국장애인공존협회,35.32605636,129.2089295
동행과나눔,조성곤,부산광역시 기장군 정관면 병산로 127-25,051-728-0070,2011-11-11,반석복지재단,35.34243527,129.176865
든솔직업재활센터,김태영,부산광역시 남구 유엔로25번길 58,051-612-0081,2015-04-01,든솔,35.12814682,129.0778108
하나장애인직업재활시설,권도형,부산광역시 남구 용호로 154,051-634-3417,2004-08-16,로사리오카리타스,35.11854861,129.1115173
참일터직업재활원,손기식,부산광역시 동구 중앙대로236번길 13-5,051-465-3511,2009-06-10,참일터,35.11798704,129.0429443
도영센터,최영지,부산광역시 동래구 시실로211번길 69-2,051-527-1004,2010-04-26,도영,35.20915696,129.0995842
신라직업재활시설,정미주,부산광역시 동래구 쇠미로 179,051-506-4912,2011-12-06,박영학원,35.2064416,129.062526
온사랑직업재활센터,서재용,부산광역시 동래구 아시아드대로 225,051-529-1678,2017-09-04,장산복지,35.20425128,129.0666157
동인직업재활센터,이상우,부산광역시 부산진구 당감로45번길 24,051-807-6877,2012-12-14,동인복지재단,35.16573365,129.0377476
부산장애인직업적응훈련센터,임정환,부산광역시 부산진구 동천로85번길 31-8,051-926-0522,2016-09-20,문화복지 공감,35.15635258,129.0603369
신애직업재활원,안명희,부산광역시 부산진구 성지로62번길 40,051-902-9128,1999-04-29,신애재활원,35.17771616,129.0561463
토리직업재활센터,장옥순,부산광역시 부산진구 마철로 51,051-892-9800,2019-08-30,토리,35.1580843,129.0457175
부산진구장애인보호작업장,곽성은,"부산광역시 부산진구 전포대로300번길 6, 6층",051-710-8190,2021-01-01,주는사랑복지재단,35.16404711,129.0658484
로뎀직업재활센터,김소덕,부산광역시 북구 의성로109길 8,051-343-7797,2009-10-26,로뎀복지재단,35.22473299,129.0171995
평화직업재활원,정영희,부산광역시 북구 양달로 65 ,051-335-7749,2003-11-25,평화의집,35.24425233,129.0198938
사상구장애인근로작업장,전세현,부산광역시 사상구 모라로192번길 2,051-304-9747,2015-12-09,사상구장애인협회,35.18542862,129.0003602
지원직업재활원,박서현,부산광역시 사상구 운산로 77,051-327-7720,2017-05-17,지원,35.1676099,128.9847515
한마음직업재활원,박준형,"부산광역시 사상구 광장로103번길 34, 1층",051-325-7300,2015-01-01,부산광역시한마음 장애인지원센터,35.16438412,128.9879178
굿윌코리아보호작업장,김성태,부산광역시 사하구 낙동남로1405번길 26,051-293-9104,2017-09-05,호산나복지재단,35.10793909,128.9654722
꿈모아직업재활센터,최성재,"부산광역시 사하구 동매로 29, 2층",051-204-1042,2016-12-29,든솔,35.10376106,128.961507
시온직업재활시설,강은미,"부산광역시 사하구 다대로 447, 501호",051-263-4214,2020-04-08,빛과소금,35.06291067,128.9793027
꿈나래직업재활시설,박재석,부산광역시 서구 보수대로154번길 40,051-926-9005,2017-04-01,부산광역시서구장애인협회,35.11099472,129.0236363
천마도예의숲,황소인,부산광역시 서구 천해로7번길 55-10,051-246-4084,1988-11-03,천마,35.08042192,129.0190211
도영하우스,노경수,"부산광역시 수영구 수영로 690-5, 수영메디세움 402호",051-714-0030,2011-12-05,도영,35.1670306,129.1158438
징검다리,홍석관,"부산광역시 수영구 과정로91번길19-2 ,1층",051-755-0383,2013-12-16,한국지적발달장애인복지협회,35.1794167,129.1059129
두배일터,장윤규,경상남도 양산시 신명3길 125,055-365-2820,1988-05-26,가온,35.38818036,129.1391381
부산직업재활원,배재훈,부산광역시 연제구 톳고개로 48,051-759-9213,1999-05-11,성우원,35.18140793,129.1020534
양지비전센터,탁정호,부산광역시 연제구 화지로 109,051-503-6001,2001-04-19,양지동산,35.1852124,129.0657737
양지직업재활원,박혜성,부산광역시 연제구 화지로 109 ,051-506-5432,2000-06-29,양지직업재활원,35.1852124,129.0657737
태양의집직업재활원,황삼복,부산광역시 연제구 고분로242번길 56 ,051-754-9747,2006-01-13,태양의집,35.1820181,129.1082758
천성직업재활원,김창민,부산광역시 영도구 일산봉로 95 ,051-418-4448,1998-12-07,천성직업재활원,35.0904098,129.0650745
부산안마수련원,박정은,부산광역시 중구 중앙대로 143-1,051-462-2106,2007-07-13,대한안마사협회,35.11045458,129.0373195
영광직업재활원,박현기,부산광역시 해운대구 삼어로91번길 11,051-523-5421,1998-12-29,동래원,35.20610546,129.1178065
장산직업재활센터,구영은,부산광역시 해운대구 세실로27번길 19,051-703-1678,2019-12-06,장산복지,35.16851427,129.1780278
해운대장애인근로사업장,조혜정,부산광역시 해운대구 석대로 29,051-531-1116,2013-06-03,부산광역시해운대구장애인협회,35.22204836,129.1258463
